subject_id,session_id,condition_label,task_label,network_label,source_block,target_block,n_timepoints,block_trace_mean,block_frobenius_mean,block_anisotropy_mean,c_sym_mean,c_rot_mean
sub-S200116,ses-01,,rest,frontal,m,d,126,,1.0552444458007812,,0.6514279084099878,0.6701348932279695
sub-S200116,ses-01,,rest,frontal,m,e,126,,0.9384112358093262,,0.5894484462276581,0.6118374579856473
sub-S200116,ses-01,,rest,frontal,d,m,126,,0.7570608854293823,,0.6514279084099878,0.6701348932279695
sub-S200116,ses-01,,rest,frontal,d,d,126,0.013204840943217278,0.8652424216270447,55.89609954145647,,
sub-S200116,ses-01,,rest,frontal,d,e,126,,0.7290273904800415,,0.5372266507437152,0.5565525560129073
sub-S200116,ses-01,,rest,frontal,e,m,126,,0.6975380778312683,,0.5894484462276581,0.6118374579856473
sub-S200116,ses-01,,rest,frontal,e,d,126,,0.7827916145324707,,0.5372266507437152,0.5565525560129073
sub-S200116,ses-01,,rest,frontal,e,e,126,0.010763300582766533,0.7101303935050964,28.04129739730589,,
sub-S200116,ses-01,,rest,central,m,m,126,-0.06682592630386353,1.1226710081100464,146.30650075981694,,
sub-S200116,ses-01,,rest,central,m,d,126,,1.1976935863494873,,0.7104146224596808,0.7158787788883332
sub-S200116,ses-01,,rest,central,m,e,126,,0.8735169768333435,,0.5952863349549232,0.613228062948873
sub-S200116,ses-01,,rest,central,d,m,126,,0.7115986347198486,,0.7104146224596808,0.7158787788883332
sub-S200116,ses-01,,rest,central,d,d,126,0.03744170069694519,0.8573859930038452,104.33958475243661,,
sub-S200116,ses-01,,rest,central,d,e,126,,0.590090811252594,,0.5718817763751552,0.6079773339292696
sub-S200116,ses-01,,rest,central,e,m,126,,0.768324077129364,,0.5952863349549232,0.613228062948873
sub-S200116,ses-01,,rest,central,e,d,126,,0.9897541403770447,,0.5718817763751552,0.6079773339292696
sub-S200116,ses-01,,rest,central,e,e,126,-0.029168272390961647,0.606889009475708,18.89240910160926,,
sub-S200116,ses-01,,rest,parietal_occipital,m,m,126,-0.03929982706904411,1.1106420755386353,49.84485345117508,,
sub-S200116,ses-01,,rest,parietal_occipital,m,d,126,,1.24522864818573,,0.7039114051768857,0.7385788331589391
sub-S200116,ses-01,,rest,parietal_occipital,m,e,126,,0.9500688314437866,,0.5744002927695552,0.6133096249353501
sub-S200116,ses-01,,rest,parietal_occipital,d,m,126,,0.7066164612770081,,0.7039114051768857,0.7385788331589391
sub-S200116,ses-01,,rest,parietal_occipital,d,d,126,0.030990632250905037,0.8558962345123291,23.557655255640707,,
sub-S200116,ses-01,,rest,parietal_occipital,d,e,126,,0.5686893463134766,,0.5111355357352765,0.587661131375259
sub-S200116,ses-01,,rest,parietal_occipital,e,m,126,,0.6834531426429749,,0.5744002927695552,0.6133096249353501
sub-S200116,ses-01,,rest,parietal_occipital,e,d,126,,0.9204449653625488,,0.5111355357352765,0.587661131375259
sub-S200116,ses-01,,rest,parietal_occipital,e,e,126,0.07712284475564957,0.647636890411377,24.061630122123226,,
sub-S200116,ses-01,,rest,temporal,m,m,126,0.13560011982917786,0.9642476439476013,34.91944084821209,,
sub-S200116,ses-01,,rest,temporal,m,d,126,,1.36576509475708,,0.7496523965270289,0.7838353079653555
sub-S200116,ses-01,,rest,temporal,m,e,126,,1.057237982749939,,0.6447412924420449,0.6587135414442709
sub-S200116,ses-01,,rest,temporal,d,m,126,,0.6300109624862671,,0.7496523965270289,0.7838353079653555
sub-S200116,ses-01,,rest,temporal,d,d,126,-0.10281631350517273,0.98899245262146,68.32408258991856,,
sub-S200116,ses-01,,rest,temporal,d,e,126,,0.7110037803649902,,0.6553815830378763,0.6721878907372875
sub-S200116,ses-01,,rest,temporal,e,m,126,,0.7120559811592102,,0.6447412924420449,0.6587135414442709
sub-S200116,ses-01,,rest,temporal,e,d,126,,1.0805929899215698,,0.6553815830378763,0.6721878907372875
sub-S200116,ses-01,,rest,temporal,e,e,126,0.02207435481250286,0.7771281003952026,58.95905196282171,,
sub-S200120,ses-01,,cognitive_control,frontal,m,m,248,0.06941894441843033,1.432210087776184,166.3672913361371,,
